"1929",122245000
"1930",123668000
"1931",124633000
"1932",125436000
"1933",126180000
"1934",126978000
"1935",127859000
"1936",128681000
"1937",129464000
"1938",130476000
"1939",131539000
"1940",132637000
"1941",133922000
"1942",135386000
"1943",137272000
"1944",138937000
"1945",140474000
"1946",141940000
"1947",144688000
"1948",147203000
"1949",149770000
"1950",152271000
"1951",154878000
"1952",157553000
"1953",160184000
"1954",163026000
"1955",165931000
"1956",168903000
"1957",171984000
"1958",174882000
"1959",177830000
"1960",180671000
"1961",183691000
"1962",186538000
"1963",189242000
"1964",191889000
"1965",194303000
"1966",196560000
"1967",198712000
"1968",200706000
"1969",202677000
"1970",205052000
"1971",207661000
"1972",209896000
"1973",211909000
"1974",213854000
"1975",215973000
"1976",218035000
"1977",220239000
"1978",222585000
"1979",225055000
"1980",227726463
"1981",229966237
"1982",232187835
"1983",234307207
"1984",236348292
"1985",238466283
"1986",240650755
"1987",242803533
"1988",245021414
"1989",247341697
"1990",250131894
"1991",253492503
"1992",256894189
"1993",260255352
"1994",263435673
"1995",266557091
"1996",269667391
"1997",272911760
"1998",276115288
"1999",279294713
"2000",282338631
"2001",285023886
"2002",287675526
"2003",290342554
"2004",293027571
"2005",295734134
"2006",298444215
"2007",301139947
"2008",303824646
